央视高清,#genre#
CCTV8-电视剧,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8
CCTV8-电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV8-电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV8-电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV8-电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8
CCTV9-记录,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8
CCTV9-记录,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9-记录,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV9-记录,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8
CCTV9-记录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9-记录,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV9-记录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8
CCTV9-记录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8
CCTV10-科教,http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10-科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV10-科教,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV10-科教,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8
CCTV10-科教,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8
CCTV10-科教,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225627/index.m3u8
CCTV10-科教,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8
CCTV11-戏曲,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
CCTV11-戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV11-戏曲,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV11-戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV11-戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV11-戏曲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV12-社会与法,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV12-社会与法,http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12-社会与法,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV12-社会与法,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV12-社会与法,http://39.135.138.58:18890/PLTV/88888888/224/3221225637/index.m3u8
